date,open,high,low,close,volume,average,barCount
2026-02-10 18:00:00,5048.0,5059.9,5046.3,5056.9,163.0,5053.89,138
2026-02-10 18:05:00,5055.4,5060.0,5050.9,5056.3,104.0,5055.49,95
2026-02-10 18:10:00,5056.0,5058.1,5055.4,5056.8,50.0,5056.64,42
2026-02-10 18:15:00,5056.8,5067.0,5056.1,5066.2,195.0,5062.48,161
2026-02-10 18:20:00,5067.1,5077.4,5065.0,5070.8,518.0,5071.25,448
2026-02-10 18:25:00,5071.4,5071.4,5066.2,5070.1,102.0,5068.74,93
2026-02-10 18:30:00,5069.1,5070.5,5063.0,5063.3,111.0,5066.33,105
2026-02-10 18:35:00,5062.9,5067.7,5061.0,5065.8,129.0,5063.66,119
2026-02-10 18:40:00,5065.1,5065.9,5064.4,5065.0,35.0,5065.06,32
2026-02-10 18:45:00,5065.4,5069.8,5063.3,5063.3,128.0,5067.62,96
2026-02-10 18:50:00,5063.1,5065.1,5062.0,5063.0,45.0,5063.12,39
2026-02-10 18:55:00,5063.0,5065.0,5061.8,5064.1,51.0,5063.48,46
2026-02-10 19:00:00,5064.7,5066.9,5060.4,5061.7,223.0,5063.66,153
2026-02-10 19:05:00,5062.3,5067.6,5058.0,5062.3,236.0,5062.25,172
2026-02-10 19:10:00,5061.8,5064.6,5053.2,5056.6,301.0,5058.73,238
2026-02-10 19:15:00,5056.5,5063.6,5050.9,5061.4,345.0,5056.08,274
2026-02-10 19:20:00,5061.0,5062.5,5054.9,5061.9,115.0,5058.34,106
2026-02-10 19:25:00,5061.3,5063.5,5059.7,5061.9,73.0,5061.42,64
2026-02-10 19:30:00,5063.3,5069.4,5062.3,5069.4,128.0,5065.97,120
2026-02-10 19:35:00,5069.6,5072.1,5067.3,5068.1,141.0,5070.12,118
2026-02-10 19:40:00,5067.8,5070.3,5062.1,5064.7,154.0,5065.84,142
2026-02-10 19:45:00,5064.0,5065.2,5057.7,5058.9,238.0,5062.19,206
2026-02-10 19:50:00,5059.0,5062.4,5057.6,5061.4,110.0,5060.5,97
2026-02-10 19:55:00,5062.5,5062.5,5058.0,5060.9,77.0,5060.24,68
2026-02-10 20:00:00,5060.4,5070.2,5053.4,5068.1,470.0,5063.65,392
2026-02-10 20:05:00,5066.8,5068.0,5059.3,5064.8,144.0,5063.99,127
2026-02-10 20:10:00,5064.5,5070.2,5061.0,5063.7,127.0,5066.15,101
2026-02-10 20:15:00,5065.2,5068.9,5059.8,5061.1,150.0,5063.34,117
2026-02-10 20:20:00,5060.6,5062.7,5058.5,5060.8,147.0,5060.81,103
2026-02-10 20:25:00,5060.5,5061.7,5056.4,5060.4,117.0,5059.03,99
2026-02-10 20:30:00,5060.5,5064.9,5055.2,5063.0,192.0,5060.61,156
2026-02-10 20:35:00,5063.1,5065.3,5062.1,5064.7,88.0,5063.89,80
2026-02-10 20:40:00,5064.3,5068.6,5064.1,5066.6,170.0,5067.03,121
2026-02-10 20:45:00,5066.1,5071.8,5064.2,5071.6,213.0,5068.1,172
2026-02-10 20:50:00,5071.0,5073.2,5063.8,5072.6,251.0,5069.02,206
2026-02-10 20:55:00,5071.9,5075.9,5069.7,5075.0,230.0,5072.88,194
2026-02-10 21:00:00,5075.6,5079.9,5066.0,5066.5,404.0,5073.09,353
2026-02-10 21:05:00,5067.1,5068.5,5059.1,5064.0,224.0,5063.49,189
2026-02-10 21:10:00,5064.3,5065.6,5058.0,5059.9,174.0,5061.27,147
2026-02-10 21:15:00,5059.8,5070.0,5055.6,5067.7,331.0,5063.54,263
2026-02-10 21:20:00,5067.5,5070.0,5065.0,5065.1,115.0,5068.0,97
2026-02-10 21:25:00,5064.9,5068.0,5064.2,5065.0,101.0,5066.23,70
2026-02-10 21:30:00,5064.8,5070.2,5064.7,5068.3,105.0,5067.53,88
2026-02-10 21:35:00,5069.0,5072.0,5068.6,5071.5,84.0,5070.48,70
2026-02-10 21:40:00,5071.6,5077.4,5071.3,5077.4,172.0,5074.74,141
2026-02-10 21:45:00,5077.4,5079.8,5074.1,5076.9,403.0,5077.0,311
2026-02-10 21:50:00,5076.2,5080.8,5076.2,5079.2,225.0,5078.95,176
2026-02-10 21:55:00,5079.4,5081.0,5076.2,5079.2,115.0,5078.31,100
2026-02-10 22:00:00,5078.6,5079.7,5074.9,5076.2,202.0,5077.2,166
2026-02-10 22:05:00,5076.9,5077.1,5072.8,5077.1,135.0,5074.35,125
2026-02-10 22:10:00,5076.4,5076.8,5072.4,5072.4,111.0,5074.86,83
